GAME_ID,GAME_DATE,HOME_TEAM_ID,HOME_WIN,HOME_ROLL_10_PTS,HOME_ROLL_10_FG_PCT,HOME_ROLL_10_FG3_PCT,HOME_ROLL_10_FT_PCT,HOME_ROLL_10_REB,HOME_ROLL_10_AST,HOME_ROLL_10_TOV,HOME_ROLL_10_STL,HOME_ROLL_10_BLK,HOME_ROLL_10_PLUS_MINUS,HOME_ROLL_10_WL_NUM,HOME_WIN_STREAK,HOME_REST_DAYS,AWAY_TEAM_ID,AWAY_ROLL_10_PTS,AWAY_ROLL_10_FG_PCT,AWAY_ROLL_10_FG3_PCT,AWAY_ROLL_10_FT_PCT,AWAY_ROLL_10_REB,AWAY_ROLL_10_AST,AWAY_ROLL_10_TOV,AWAY_ROLL_10_STL,AWAY_ROLL_10_BLK,AWAY_ROLL_10_PLUS_MINUS,AWAY_ROLL_10_WL_NUM,AWAY_WIN_STREAK,AWAY_REST_DAYS,DIFF_ROLL_10_PTS,DIFF_ROLL_10_FG_PCT,DIFF_ROLL_10_FG3_PCT,DIFF_ROLL_10_FT_PCT,DIFF_ROLL_10_REB,DIFF_ROLL_10_AST,DIFF_ROLL_10_TOV,DIFF_ROLL_10_STL,DIFF_ROLL_10_BLK,DIFF_ROLL_10_PLUS_MINUS,DIFF_ROLL_10_WL_NUM,DIFF_WIN_STREAK,DIFF_REST_DAYS,H2H_HOME_WINRATE
0022200048,2022-10-24,1610612745,1,111.33333333333333,0.42966666666666664,0.38199999999999995,0.7686666666666667,48.666666666666664,21.0,13.666666666666666,5.666666666666667,5.0,-12.333333333333334,0.0,3,2.0,1610612762,125.66666666666667,0.462,0.38766666666666666,0.7433333333333333,47.0,31.666666666666668,16.0,11.333333333333334,5.0,10.333333333333334,1.0,3,1.0,-14.333333333333343,-0.03233333333333338,-0.005666666666666709,0.02533333333333343,1.6666666666666643,-10.666666666666668,-2.333333333333334,-5.666666666666667,0.0,-22.666666666666668,-1.0,0,1.0,0.5
0022200047,2022-10-24,1610612741,1,104.0,0.42133333333333334,0.287,0.8026666666666666,39.666666666666664,20.333333333333332,12.333333333333334,10.666666666666666,5.333333333333333,-8.666666666666666,0.3333333333333333,2,2.0,1610612738,121.0,0.521,0.39033333333333337,0.8690000000000001,38.666666666666664,21.666666666666668,12.333333333333334,5.666666666666667,6.666666666666667,7.333333333333333,1.0,3,2.0,-17.0,-0.09966666666666668,-0.10333333333333339,-0.06633333333333347,1.0,-1.3333333333333357,0.0,4.999999999999999,-1.333333333333334,-16.0,-0.6666666666666667,-1,0.0,0.5
0022200049,2022-10-24,1610612763,1,113.33333333333333,0.426,0.355,0.6970000000000001,47.666666666666664,24.333333333333332,14.0,6.0,8.333333333333334,-10.333333333333334,0.6666666666666666,1,2.0,1610612751,,,,,,,,,,,,1,3.0,,,,,,,,,,,,0,-1.0,0.5
0022200044,2022-10-24,1610612755,1,103.33333333333333,0.458,0.30433333333333334,0.8176666666666667,38.333333333333336,19.666666666666668,12.0,6.666666666666667,4.333333333333333,-6.666666666666667,0.0,3,2.0,1610612754,121.66666666666667,0.443,0.3506666666666667,0.7906666666666666,47.666666666666664,27.0,14.0,7.333333333333333,8.666666666666666,-0.3333333333333333,0.3333333333333333,1,2.0,-18.333333333333343,0.015000000000000013,-0.04633333333333334,0.027000000000000024,-9.333333333333329,-7.333333333333332,-2.0,-0.6666666666666661,-4.333333333333333,-6.333333333333334,-0.3333333333333333,2,0.0,0.5
0022200045,2022-10-24,1610612748,0,108.0,0.47333333333333333,0.36800000000000005,0.8373333333333334,42.0,24.0,14.333333333333334,5.333333333333333,2.3333333333333335,-4.0,0.3333333333333333,1,2.0,1610612761,107.33333333333333,0.44399999999999995,0.395,0.7120000000000001,39.666666666666664,22.666666666666668,10.666666666666666,11.0,4.333333333333333,-1.3333333333333333,0.3333333333333333,2,2.0,0.6666666666666714,0.029333333333333378,-0.02699999999999997,0.1253333333333333,2.3333333333333357,1.3333333333333321,3.666666666666668,-5.666666666666667,-1.9999999999999996,-2.666666666666667,0.0,-1,0.0,1.0
0022200051,2022-10-24,1610612757,1,111.33333333333333,0.4406666666666667,0.36933333333333335,0.8213333333333334,48.0,17.666666666666668,16.0,8.333333333333334,4.0,3.6666666666666665,1.0,3,1.0,1610612743,117.33333333333333,0.5036666666666667,0.39799999999999996,0.7883333333333332,40.666666666666664,28.0,19.666666666666668,8.333333333333334,3.6666666666666665,-3.6666666666666665,0.6666666666666666,2,2.0,-6.0,-0.063,-0.028666666666666618,0.03300000000000014,7.333333333333336,-10.333333333333332,-3.666666666666668,0.0,0.3333333333333335,7.333333333333333,0.33333333333333337,1,-1.0,0.5
0022200050,2022-10-24,1610612750,0,119.0,0.4653333333333333,0.2966666666666667,0.731,56.333333333333336,23.0,16.333333333333332,6.666666666666667,5.0,3.6666666666666665,0.6666666666666666,1,1.0,1610612759,117.66666666666667,0.47666666666666674,0.39166666666666666,0.747,41.333333333333336,27.666666666666668,15.333333333333334,7.333333333333333,6.333333333333333,-5.0,0.6666666666666666,2,2.0,1.3333333333333286,-0.011333333333333417,-0.09499999999999997,-0.016000000000000014,15.0,-4.666666666666668,0.9999999999999982,-0.6666666666666661,-1.333333333333333,8.666666666666666,0.0,-1,-1.0,0.5
0022200053,2022-10-25,1610612740,1,125.0,0.47766666666666663,0.37399999999999994,0.786,53.0,28.0,14.666666666666666,8.666666666666666,5.666666666666667,10.0,0.6666666666666666,1,2.0,1610612742,,,,,,,,,,,,1,3.0,,,,,,,,,,,,0,-1.0,0.5
0022200055,2022-10-25,1610612756,1,110.0,0.4633333333333334,0.36366666666666664,0.8316666666666667,43.333333333333336,28.333333333333332,13.333333333333334,7.666666666666667,3.0,5.666666666666667,0.6666666666666666,1,2.0,1610612744,125.33333333333333,0.48300000000000004,0.37366666666666665,0.7833333333333333,40.0,29.666666666666668,16.333333333333332,9.333333333333334,4.0,4.666666666666667,0.6666666666666666,1,2.0,-15.333333333333329,-0.019666666666666666,-0.010000000000000009,0.04833333333333334,3.3333333333333357,-1.3333333333333357,-2.9999999999999982,-1.666666666666667,-1.0,1.0,0.0,0,0.0,0.5
0022200054,2022-10-25,1610612760,1,110.33333333333333,0.4223333333333333,0.3086666666666667,0.7716666666666666,48.666666666666664,25.0,12.0,7.666666666666667,5.0,-7.333333333333333,0.0,3,2.0,1610612746,103.0,0.4693333333333334,0.3333333333333333,0.7513333333333333,47.0,19.333333333333332,16.333333333333332,8.333333333333334,3.3333333333333335,-3.0,0.6666666666666666,1,2.0,7.333333333333329,-0.0470000000000001,-0.024666666666666615,0.020333333333333314,1.6666666666666643,5.666666666666668,-4.333333333333332,-0.666666666666667,1.6666666666666665,-4.333333333333333,-0.6666666666666666,2,0.0,0.5
0022200052,2022-10-25,1610612764,1,107.66666666666667,0.488,0.38966666666666666,0.767,42.333333333333336,24.0,16.666666666666668,7.333333333333333,7.333333333333333,-0.3333333333333333,0.6666666666666666,1,2.0,1610612765,111.33333333333333,0.416,0.349,0.7176666666666667,47.666666666666664,27.666666666666668,13.333333333333334,7.333333333333333,3.0,-9.666666666666666,0.3333333333333333,2,3.0,-3.666666666666657,0.07200000000000001,0.040666666666666684,0.04933333333333334,-5.333333333333329,-3.666666666666668,3.333333333333334,0.0,4.333333333333333,9.333333333333332,0.3333333333333333,-1,-1.0,0.5
0022200058,2022-10-26,1610612752,1,119.0,0.464,0.3203333333333333,0.7296666666666667,51.333333333333336,27.0,12.333333333333334,6.0,4.666666666666667,11.333333333333334,0.6666666666666666,2,2.0,1610612766,122.33333333333333,0.4956666666666667,0.4176666666666667,0.7853333333333333,46.666666666666664,28.0,13.666666666666666,7.666666666666667,6.666666666666667,10.666666666666666,0.6666666666666666,1,3.0,-3.3333333333333286,-0.031666666666666676,-0.09733333333333338,-0.05566666666666664,4.666666666666671,-1.0,-1.3333333333333321,-1.666666666666667,-2.0,0.6666666666666679,0.0,1,-1.0,0.5
0022200065,2022-10-26,1610612757,0,117.25,0.475,0.39125,0.8015,47.25,19.0,14.0,7.0,4.5,9.0,1.0,4,2.0,1610612748,103.5,0.44225000000000003,0.33475,0.8502500000000001,43.0,22.75,13.75,5.25,2.5,-5.0,0.25,1,2.0,13.75,0.032749999999999946,0.056499999999999995,-0.04875000000000007,4.25,-3.75,0.25,1.75,2.0,14.0,0.75,3,0.0,0.5
